from,to,relationship,rank,agency,category,worth
Neuer,PROProfil,1,11,PROProfil,rusty,cheap
Neuer,FCB,2,11,FCB,rusty,cheap
Ulreich,BMS,1,11,BMS,rusty,nothing
Ulreich,FCB,2,11,FCB,rusty,nothing
Fruechtl,Talcon,1,11,Talcon,young,nothing
Fruechtl,FCB,2,11,FCB,young,nothing
Hoffmann,ROOF,1,11,ROOF,young,nothing
Hoffmann,FCB,2,11,FCB,young,nothing
Hernandez,Quilon,1,11,Quilon,mid,high
Hernandez,FCB,2,11,FCB,mid,high
Upamecano,Sports360,1,11,Sports360,young,average
Upamecano,FCB,2,11,FCB,young,average
Suele,Sports360,1,11,Sports360,mid,average
Suele,FCB,2,11,FCB,mid,average
Nianzou,VV,1,11,VV,young,cheap
Nianzou,FCB,2,11,FCB,young,cheap
RichardsC,none,1,11,none,young,cheap
RichardsC,FCB,2,11,FCB,young,cheap
Lawrence,TuB,1,11,TuB,teen,nothing
Lawrence,FCB,2,11,FCB,teen,nothing
Feldhahn,none,1,11,none,rusty,nothing
Feldhahn,FCB,2,11,FCB,rusty,nothing
Davies,ATG,1,11,ATG,young,expensive
Davies,FCB,2,11,FCB,young,expensive
RichardsO,ICMStellar,1,11,ICMStellar,mid,cheap
RichardsO,FCB,2,11,FCB,mid,cheap
Pavard,Carmenta,1,11,Carmenta,mid,average
Pavard,FCB,2,11,FCB,mid,average
Stanisic,BALLWERK,1,11,BALLWERK,young,low
Stanisic,FCB,2,11,FCB,young,low
Sarr,Wasserman,1,11,Wasserman,old,low
Sarr,FCB,2,11,FCB,old,low
Kimmich,none,1,11,none,mid,expensive
Kimmich,FCB,2,11,FCB,mid,expensive
Roca,Promoesport,1,11,Promoesport,mid,cheap
Roca,FCB,2,11,FCB,mid,cheap
Booth,LS,1,11,LS,young,nothing
Booth,FCB,2,11,FCB,young,nothing
Goretzka,Neubauer13,1,11,Neubauer13,mid,expensive
Goretzka,FCB,2,11,FCB,mid,expensive
Sabitzer,ROGON,1,11,ROGON,old,cheap
Sabitzer,FCB,2,11,FCB,old,cheap
Tolisso,CastagninoSAS,1,11,CastagninoSAS,mid,cheap
Tolisso,FCB,2,11,FCB,mid,cheap
Cuisance,YAATS,1,11,YAATS,young,low
Cuisance,FCB,2,11,FCB,young,low
Kern,Haspel,1,11,Haspel,rusty,nothing
Kern,FCB,2,11,FCB,rusty,nothing
Musiala,11WINS,1,11,11WINS,teen,expensive
Musiala,FCB,2,11,FCB,teen,expensive
Wanner,none,1,11,none,teen,low
Wanner,FCB,2,11,FCB,teen,low
TillmanM,ROOF,1,11,ROOF,young,low
TillmanM,FCB,2,11,FCB,young,low
Sane,LIAN,1,11,LIAN,mid,high
Sane,FCB,2,11,FCB,mid,high
Motika,LIAN,1,11,LIAN,teen,low
Motika,FCB,2,11,FCB,teen,low
Ibrahimovic,none,1,11,none,teen,nothing
Ibrahimovic,FCB,2,11,FCB,teen,nothing
Gnabry,ROOF,1,11,ROOF,mid,expensive
Gnabry,FCB,2,11,FCB,mid,expensive
Coman,none,1,11,none,mid,high
Coman,FCB,2,11,FCB,mid,high
MuellerT,Koegl,1,11,Koegl,rusty,average
MuellerT,FCB,2,11,FCB,rusty,average
Vidovic,Rummenigge,1,11,Rummenigge,teen,low
Vidovic,FCB,2,11,FCB,teen,low
Lewandowski,Zahavi,1,11,Zahavi,rusty,high
Lewandowski,FCB,2,11,FCB,rusty,high
Choupo-Moting,ROGON,1,11,ROGON,rusty,low
Choupo-Moting,FCB,2,11,FCB,rusty,low
Copado,LIAN,1,11,LIAN,teen,nothing
Copado,FCB,2,11,FCB,teen,nothing
Kobel,SBE,1,12,SBE,mid,average
Kobel,BVB,2,12,BVB,mid,average
Unbehaun,SWSports,1,12,SWSports,young,low
Unbehaun,BVB,2,12,BVB,young,low
Buerki,IFM,1,12,IFM,old,low
Buerki,BVB,2,12,BVB,old,low
Hitz,ROOF,1,12,ROOF,rusty,nothing
Hitz,BVB,2,12,BVB,rusty,nothing
Drljaca,SD,1,12,SD,young,nothing
Drljaca,BVB,2,12,BVB,young,nothing
Ostrzinski,KuR,1,12,KuR,teen,nothing
Ostrzinski,BVB,2,12,BVB,teen,nothing
Akanji,IFM,1,12,IFM,mid,average
Akanji,BVB,2,12,BVB,mid,average
Zagadou,none,1,12,none,young,cheap
Zagadou,BVB,2,12,BVB,young,cheap
Hummels,HMH,1,12,HMH,rusty,cheap
Hummels,BVB,2,12,BVB,rusty,cheap
Pongracic,Match2gether,1,12,Match2gether,mid,cheap
Pongracic,BVB,2,12,BVB,mid,cheap
CoulibalyS,Unique,1,12,Unique,teen,nothing
CoulibalyS,BVB,2,12,BVB,teen,nothing
Maloney,AKA,1,12,AKA,young,nothing
Maloney,BVB,2,12,BVB,young,nothing
Papadopoulos,ICMStellar,1,12,ICMStellar,young,nothing
