id,name,type,country,age,value,category
FCB,FC Bayern Muenchen,2,,,,
Neuer,Manuel Neuer,3,Deutschland,36,150,rusty
Ulreich,Sven Ulreich,3,Deutschland,33,9,rusty
Fruechtl,Christian Fruechtl,3,Deutschland,22,6,young
Hoffmann,Ron-Thorben Hoffmann,3,Deutschland,22,5,young
Hernandez,Lucas Hernandez,3,Frankreich,26,500,mid
Upamecano,Dayot Upamecano,3,Frankreich,23,400,young
Suele,Niklas Suele,3,Deutschland,26,350,mid
Nianzou,Tanguy Nianzou,3,Frankreich,20,90,young
RichardsC,Chris Richards,3,USA,22,75,young
Lawrence,Jamie Lawrence,3,Deutschland,19,10,teen
Feldhahn,Nicolas Feldhahn,3,Deutschland,35,1,rusty
Davies,Alphonso Davies,3,Kanada,21,700,young
RichardsO,Omar Richards,3,England,24,70,mid
Pavard,Benjamin Pavard,3,Frankreich,26,300,mid
Stanisic,Josip Stanisic,3,Kroatien,22,40,young
Sarr,Bouna Sarr,3,Senegal,30,25,old
Kimmich,Joshua Kimmich,3,Deutschland,27,800,mid
Roca,Marc Roca,3,Spanien,25,70,mid
Booth,Taylor Booth,3,USA,21,10,young
Goretzka,Leon Goretzka,3,Deutschland,27,650,mid
Sabitzer,Marcel Sabitzer,3,Oesterreich,28,150,old
Tolisso,Corentin Tolisso,3,Frankreich,27,150,mid
Cuisance,Michael Cuisance,3,Frankreich,22,40,young
Kern,Timo Kern,3,Deutschland,32,2,rusty
Musiala,Jamal Musiala,3,Deutschland,19,650,teen
Wanner,Paul Wanner,3,Deutschland,16,20,teen
TillmanM,Malik Tillman,3,USA,20,15,young
Sane,Leroy Sane,3,Deutschland,26,600,mid
Motika,Nemanja Motika,3,Serbien,19,12,teen
Ibrahimovic,Arijon Ibrahimovic,3,Deutschland,16,,teen
Gnabry,Serge Gnabry,3,Deutschland,26,650,mid
Coman,Kingsley Coman,3,Frankreich,26,600,mid
MuellerT,Thomas Mueller,3,Deutschland,32,220,rusty
Vidovic,Gabriel Vidovic,3,Kroatien,18,30,teen
Lewandowski,Robert Lewandowski,3,Polen,33,450,rusty
Choupo-Moting,Eric Maxim Choupo-Moting,3,Kamerun,33,30,rusty
Copado,Lucas Copado,3,Deutschland,18,10,teen
BVB,Borussia Dortmund,2,,,,
Kobel,Gregor Kobel,3,Schweiz,24,220,mid
Unbehaun,Luca Unbehaun,3,Deutschland,21,15,young
Buerki,Roman Buerki,3,Schweiz,31,15,old
Hitz,Marwin Hitz,3,Schweiz,34,10,rusty
Drljaca,Stefan Drljaca,3,Deutschland,23,2,young
Ostrzinski,Silas Ostrzinski,3,Deutschland,18,,teen
Akanji,Manuel Akanji,3,Schweiz,26,300,mid
Zagadou,Dan-Axel Zagadou,3,Frankreich,23,90,young
Hummels,Mats Hummels,3,Deutschland,33,65,rusty
Pongracic,Marin Pongracic,3,Kroatien,24,60,mid
CoulibalyS,Soumaila Coulibaly,3,Frankreich,18,8,teen
Maloney,Lennard Maloney,3,USA,22,4,young
Papadopoulos,Antonios Papadopoulos,3,Deutschland,22,4,young
Guerreiro,Raphael Guerreiro,3,Portugal,28,250,old
SchulzN,Nico Schulz,3,Deutschland,29,40,old
Rothe,Tom Rothe,3,Deutschland,17,12,teen
Schmelzer,Marcel Schmelzer,3,Deutschland,34,5,rusty
Meunier,Thomas Meunier,3,Belgien,30,65,old
Morey,Mateu Morey Bauza,3,Spanien,22,40,young
Passlack,Felix Passlack,3,Deutschland,24,15,mid
Semic,Lion Semic,3,Deutschland,18,5,teen
Can,Emre Can,3,Deutschland,28,160,old
Delaney,Thomas Delaney,3,Daenemark,30,70,old
Witsel,Axel Witsel,3,Belgien,33,40,rusty
Kamara,Abdoulaye Kamara,3,Guinea,17,10,teen
Bellingham,Jude Bellingham,3,England,18,800,teen
Dahoud,Mahmoud Dahoud,3,Deutschland,26,180,mid
Pasalic,Marco Pasalic,3,Kroatien,21,3,young
Reyna,Giovanni Reyna,3,USA,19,350,teen
Brandt,Julian Brandt,3,Deutschland,26,250,mid
Reus,Marco Reus,3,Deutschland,33,110,rusty
Reinier,Reinier,3,Brasilien,20,80,young
Pherai,Immanuel Pherai,3,Niederlande,21,7,young
Guerpuez,Goektan Guerpuez,3,Deutschland,19,3,teen
Hazard,Thorgan Hazard,3,Belgien,29,150,old
Knauff,Ansgar Knauff,3,Deutschland,20,100,young
WolfM,Marius Wolf,3,Deutschland,27,65,mid
Bynoe-Gittens,Jamie Bynoe-Gittens,3,England,17,40,teen
Haaland,Erling Haaland,3,Norwegen,21,1500,young
Malen,Donyell Malen,3,Niederlande,23,270,young
Moukoko,Youssoufa Moukoko,3,Deutschland,17,150,teen
Tigges,Steffen Tigges,3,Deutschland,23,15,young
Nijnmah,Justin Nijnmah,3,Deutschland,21,4,young
LEV,Bayer 04 Leverkusen,2,,,,
Hradecky,Lukas Hradecky,3,Finnland,32,50,rusty
Lunev,Andrey Lunev,3,Russland,30,25,old
Grill,Lennart Grill,3,Deutschland,23,10,young
Lomb,Niklas Lomb,3,Deutschland,28,3,old
Neutgens,Maximilian Neutgens,3,Deutschland,18,,teen
Tapsoba,Edmond Tapsoba,3,Burkina Faso,23,350,young
Tah,Jonathan Tah,3,Deutschland,26,250,mid
Kossounou,Odilon Kossounou,3,Elfenbeinkueste,21,200,young
Hincapie,Piero Hincapie,3,Ecuador,20,170,young
Retsos,Panagiotis Retsos,3,Griechenland,23,28,young
Fofana,Sadik Fofana,3,Togo,19,,teen
Bakker,Mitchel Bakker,3,Niederlande,22,140,young
Wendell,Wendell,3,Brasilien,28,50,old
Sinkgraven,Daley Sinkgraven,3,Niederlande,26,40,mid
Frimpong,Jeremie Frimpong,3,Niederlande,21,200,young
Fosu-Mensah,Timothy Fosu-Mensah,3,Niederlande,24,40,mid
Weiser,Mitchell Weiser,3,Deutschland,28,15,old
Baumgartlinger,Julian Baumgartlinger,3,Oesterreich,34,8,rusty
Demirbay,Kerem Demirbay,3,Deutschland,28,150,old
Palacios,Exequiel Palacios,3,Argentinien,23,150,young
Andrich,Robert Andrich,3,Deutschland,27,130,mid
Amiri,Nadiem Amiri,3,Deutschland,25,80,mid
Aranguiz,Charles Aranguiz,3,Chile,33,35,rusty
Sertdemir,Zidan Sertdemir,3,Norwegen,17,20,teen
Wirtz,Florian Wirtz,3,Deutschland,19,700,teen
Diaby,Moussa Diaby,3,Frankreich,22,600,young
Paulinho,Paulinho,3,Brasilien,21,110,young
Adli,Amine Adli,3,Frankreich,22,120,young
Bellarabi,Karim Bellarabi,3,Deutschland,32,30,rusty
Schick,Patrik Schick,3,Tschechien,26,500,mid
Azmoun,Sardar Azmoun,3,Iran,27,220,mid
Alario,Lucas Alario,3,Argentinien,29,80,old
Pohjanpalo,Joel Pohjanpalo,3,Finnland,27,25,mid
Gedikli,Emrehan Gedikli,3,Deutschland,19,12,teen
Bravo,Iker Bravo,3,Spanien,17,10,teen
RBL,RB Leipzig,2,,,,
Gulacsi,Peter Gulacsi,3,Ungarn,32,80,rusty
Martinez,Josep Martinez,3,Spanien,24,22,mid
Tschauner,Philipp Tschauner,3,Deutschland,36,3,rusty
Eutinger,Fabian Eutinger,3,Deutschland,18,1,teen
Gvardiol,Josko Gvardiol,3,Kroatien,20,350,young
Simakan,Mohamed Simakan,3,Frankreich,22,220,young
Klostermann,Lukas Klostermann,3,Deutschland,26,180,mid
Orban,Willi Orban,3,Ungarn,29,100,old
Lelle,David Lelle,3,Deutschland,19,,teen
Angelino,Angelino,3,Spanien,25,300,mid
Halstenberg,Marcel Halstenberg,3,Deutschland,30,50,old
Mukiele,Nordi Mukiele,3,Frankreich,24,200,mid
